id,s1_cis,t1_cis,exchange_integral,dsp_scf,dsp_cis,homo_lumo_overlap,oscillator_strength,run_time,smiles,s1_ref,t1_ref,t1_s1_ref,oscillator_strength_ref
176,0.050534617,0.039846827,0.008917092,-0.012254908,-0.008695271,0.411224264,0.019977839,0.023011501,CNC1=CC=C2N=CN=C3N=CC=C1N23,1.658449,1.710497,-0.052048,0.008035
177,0.060303266,0.041154458,0.010409749,-0.009957259,-0.007144896,0.537224138,0.02245371,0.023765467,CNC1=CC=C2C=CN=C3N=CN=C1N23,1.821866,1.731844,0.090022,0.010764
178,0.055960727,0.044569731,0.007290228,-0.01237367,-0.008791787,0.385538199,0.016417367,0.024139975,CNC1=CN=C2N=CN=C3C=CC=C1N23,1.823344,1.894888,-0.071544,0.004397
179,0.056426588,0.046430971,0.007604335,-0.011022597,-0.007868077,0.396366889,0.015616182,0.02837254,C=CC1=CC2=CC=NC3=NC=NC(=C1)N23,1.806996,1.905545,-0.098549,0.00611
180,0.056154373,0.045749088,0.007609331,-0.012583073,-0.008951083,0.398474165,0.025988139,0.029024483,C=CC1=NC2=NC=NC3=CC=CC(=C1)N23,1.862375,1.946068,-0.083693,0.013399
181,0.055107365,0.046593326,0.005345919,-0.014491809,-0.010209483,0.325945081,0.013968733,0.027981537,C=CC1=NC2=CC=CC3=CC=NC(=N1)N23,1.795107,1.939727,-0.14462,0.003129
182,0.054279609,0.044496441,0.007276531,-0.012592564,-0.008921156,0.373547228,0.01612276,0.032141113,C=CC1=CC=C2N=CN=C3N=CC=C1N23,1.811802,1.933179,-0.121377,0.005159
183,0.053908744,0.043501958,0.008214213,-0.011622341,-0.008275303,0.416401994,0.020962818,0.028205592,C=CC1=CC=C2C=CN=C3N=CN=C1N23,1.756959,1.849627,-0.092668,0.012169
184,0.054526995,0.045165113,0.006666697,-0.01239242,-0.00879229,0.348726116,0.014372434,0.02821908,C=CC1=CN=C2N=CN=C3C=CC=C1N23,1.821056,1.941304,-0.120248,0.001532
185,0.05537983,0.046088203,0.007430679,-0.011900128,-0.008463909,0.377925236,0.015512844,0.028107728,C#CC1=CC2=CC=NC3=NC=NC(=C1)N23,1.754005,1.849645,-0.09564,0.007089
186,0.055903842,0.045970861,0.007257869,-0.012952143,-0.009192593,0.384791516,0.024082879,0.028467577,C#CC1=NC2=NC=NC3=CC=CC(=C1)N23,1.79664,1.878428,-0.081788,0.008667
187,0.055744058,0.046647157,0.005817059,-0.014120544,-0.009968692,0.342775523,0.014462816,0.028661197,C#CC1=NC2=CC=CC3=CC=NC(=N1)N23,1.771864,1.906444,-0.13458,0.002029
188,0.054649009,0.044712593,0.007206658,-0.012791382,-0.0090579,0.381054577,0.015869296,0.029996169,C#CC1=CC=C2N=CN=C3N=CC=C1N23,1.840393,1.974439,-0.134046,0.005814
189,0.054151024,0.043705117,0.008165938,-0.012196246,-0.008669315,0.407512656,0.02002988,0.028398584,C#CC1=CC=C2C=CN=C3N=CN=C1N23,1.805377,1.923662,-0.118285,0.010482
190,0.053461207,0.044985132,0.006457315,-0.012532641,-0.008880387,0.341340997,0.014264452,0.027637029,C#CC1=CN=C2N=CN=C3C=CC=C1N23,1.835971,1.974319,-0.138348,0.001147
191,0.055609814,0.046077333,0.007355508,-0.011662473,-0.008302361,0.376112274,0.014632512,0.028617207,[C-]#[N+]C1=CC2=CC=NC3=NC=NC(=C1)N23,1.778641,1.890656,-0.112015,0.006699
192,0.054463396,0.045931685,0.00670415,-0.013345948,-0.009448706,0.352653612,0.021880623,0.027879506,[C-]#[N+]C1=NC2=NC=NC3=CC=CC(=C1)N23,1.823409,1.928674,-0.105265,0.0066
193,0.055815974,0.046307058,0.006106171,-0.013783761,-0.009745725,0.347090786,0.015428917,0.028415325,[C-]#[N+]C1=NC2=CC=CC3=CC=NC(=N1)N23,1.853621,1.978396,-0.124775,0.003028
194,0.054853088,0.045252114,0.00694189,-0.013267274,-0.009382435,0.382749706,0.015025316,0.028180155,[C-]#[N+]C1=CC=C2N=CN=C3N=CC=C1N23,1.827135,1.963232,-0.136097,0.005306
195,0.055463953,0.044129318,0.008197393,-0.012268798,-0.008726716,0.432934386,0.01907077,0.028387783,[C-]#[N+]C1=CC=C2C=CN=C3N=CN=C1N23,1.817019,1.935912,-0.118893,0.009173
196,0.054139931,0.045608286,0.006397296,-0.012734551,-0.009021897,0.353096438,0.014283027,0.027877482,[C-]#[N+]C1=CN=C2N=CN=C3C=CC=C1N23,1.852306,1.983041,-0.130735,0.001082
197,0.05324187,0.043016226,0.008232232,-0.011450977,-0.008172752,0.399341791,0.017939272,0.029852286,N#CC1=CC2=CC=NC3=NC=NC(=C1)N23,1.701869,1.7647,-0.062831,0.008728
198,0.055768988,0.044755878,0.007177503,-0.012684738,-0.009004401,0.429384544,0.019973574,0.035063734,N#CC1=NC2=NC=NC3=CC=CC(=C1)N23,1.799948,1.843007,-0.043059,0.00532
199,0.054752247,0.046071516,0.005668531,-0.014149859,-0.009978739,0.339292313,0.01309138,0.02786136,N#CC1=NC2=CC=CC3=CC=NC(=N1)N23,1.770347,1.884723,-0.114376,0.001962
200,0.056096575,0.046814084,0.006231637,-0.013673258,-0.009656463,0.355844196,0.014316437,0.028155022,N#CC1=CC=C2N=CN=C3N=CC=C1N23,1.902344,2.042587,-0.140243,0.004702
201,0.054419145,0.045448955,0.007764022,-0.012857623,-0.009127374,0.352959837,0.019843606,0.02781558,N#CC1=CC=C2C=CN=C3N=CN=C1N23,1.848964,1.98278,-0.133816,0.01037
202,0.054574289,0.047079194,0.005907244,-0.013320258,-0.009407,0.329700907,0.01222288,0.028272135,N#CC1=CN=C2N=CN=C3C=CC=C1N23,1.894139,2.052798,-0.158659,0.000542
203,0.06093325,0.054027042,0.005152514,-0.014100255,-0.009906555,0.298823055,0.010385021,0.023203452,CN(C)C1=CC2=CC=NC3=NC=NC(=C1)N23,2.195885,2.338566,-0.142681,0.000822
204,0.059641778,0.050033167,0.007732088,-0.013720469,-0.009727031,0.379111984,0.023194734,0.025082797,CN(C)C1=NC2=NC=NC3=CC=CC(=C1)N23,2.145184,2.222403,-0.077219,0.023229
205,0.061450307,0.049881788,0.008175098,-0.013011376,-0.009259385,0.366131873,0.025172931,0.023429041,CN(C)C1=NC2=CC=CC3=CC=NC(=N1)N23,2.220383,2.238172,-0.017789,0.02425
206,0.052973629,0.043794921,0.007444946,-0.013279865,-0.00939355,0.36333284,0.016660608,0.029893475,CN(C)C1=CC=C2N=CN=C3N=CC=C1N23,1.752293,1.854537,-0.102244,0.00612
207,0.057744623,0.04248707,0.00886214,-0.011416169,-0.008142679,0.482951447,0.01896604,0.024254772,CN(C)C1=CC=C2C=CN=C3N=CN=C1N23,1.783259,1.790958,-0.007699,0.009713
208,0.056511528,0.044735002,0.007347454,-0.01223605,-0.008699518,0.392254768,0.016620201,0.024377311,CN(C)C1=CN=C2N=CN=C3C=CC=C1N23,1.831585,1.900389,-0.068804,0.004218
209,0.066720812,0.058375485,0.00639295,-0.013980408,-0.009850915,0.357252756,0.010870903,0.020211845,CC1=CC2=NC=NC3=NC=NC(=C1)N23,2.139639,2.323927,-0.184288,0.001831
210,0.066428074,0.058152712,0.006175358,-0.014345335,-0.010100134,0.350583025,0.010697972,0.018577458,CC1=NC2=CC=CC3=NC=NC(=N1)N23,2.145542,2.312767,-0.167225,0.004194
211,0.06658099,0.058025249,0.006364994,-0.014116404,-0.00994471,0.362142441,0.010881374,0.018527144,CC1=CC=C2N=CN=C3N=CN=C1N23,2.075128,2.226717,-0.151589,0.00276
212,0.072262674,0.066909155,0.004377398,-0.014821382,-0.010354814,0.290865361,0.005878826,0.01904082,NC1=CC2=NC=NC3=NC=NC(=C1)N23,2.41261,2.609936,-0.197326,0.000829
213,0.073148096,0.0616565,0.007889041,-0.013343366,-0.009465326,0.392169087,0.02021638,0.020863271,NC1=NC2=CC=CC3=NC=NC(=N1)N23,2.450193,2.519815,-0.069622,0.021012
